"Automatically pay out for Affiliate through the paygate","Automatically pay out for Affiliate through the paygate"
"Back","Back"
"Back to Edit","Back to Edit"
"Balance","Balance"
"Balance: %s","Balance: %s"
"Banner Information","Banner Information"
"Banner Manager","Banner Manager"
"Banner News","Banner News"
"Banner Type","Banner Type"
"Banner View","Banner View"
"Banner does not exist","Banner does not exist"
"Banner information","Banner information"
"Banner was successfully deleted","Banner was successfully deleted"
"Banner was successfully saved","Banner was successfully saved"
"Banners","Banners"
"Banners Manager","Banners Manager"
"Both Affiliate program Discount and Shopping cart Discount","Both Affiliate program Discount and Shopping cart Discount"
"CSV","CSV"
"Cancel","Cancel"
"Cancel Withdrawal","Cancel Withdrawal"
"Cancel Withdrawals","Cancel Withdrawals"
"Canceled","Canceled"
"Cannot find payment method configure!","Cannot find payment method configure!"
"Captcha code","Captcha code"
"Change Password","Change Password"
"Change status","Change status"
"Checking email address","Checking email address"
"City","City"
"Click/View Fraud Detection Configuration","Click/View Fraud Detection Configuration"
"Clicks","Clicks"
"Commission","Commission"
"Commission Configuration","Commission Configuration"
"Commission Type","Commission Type"
"Commission Type (from 2nd order)","Commission Type (from 2nd order)"
"Commission Value","Commission Value"
"Commission Value (from 2nd order)","Commission Value (from 2nd order)"
"Commission type","Commission type"
"Commissions","Commissions"
"Complete Manual","Complete Manual"
"Complete Withdrawal","Complete Withdrawal"
"Completed","Completed"
"Confirm","Confirm"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Cookie Expiry (days)","Cookie Expiry (days)"
"Copy/ paste this source code into your website/ forum.","Copy/ paste this source code into your website/ forum."
"Country","Country"
"Create CMS page and manage there","Create CMS page and manage there"
"Create Withdrawal","Create Withdrawal"
"Create Your Account","Create Your Account"
"Create and complete Withdrawal","Create and complete Withdrawal"
"Current Balance","Current Balance"
"Current Password","Current Password"
"Custom Url","Custom Url"
"Customer","Customer"
"Customer Email","Customer Email"
"Customer Since","Customer Since"
"DESC","DESC"
"Date","Date"
"Delete","Delete"
"Delete Account","Delete Account"
"Delete Banner","Delete Banner"
"Delete File","Delete File"
"Delete Withdrawal","Delete Withdrawal"
"Detect By Cookie","Detect By Cookie"
"Detect By Iframe","Detect By Iframe"
"Detect By Software","Detect By Software"
"Detect Proxy By Header","Detect Proxy By Header"
"Detect Proxy By IP Bank","Detect Proxy By IP Bank"
"Detect Proxy By gethostbyaddr Function","Detect Proxy By gethostbyaddr Function"
"Detect by Ip address","Detect by Ip address"
"Disabled","Disabled"
"Discount","Discount"
"Discount Configuration","Discount Configuration"
"Discount Type","Discount Type"
"Discount Type (from 2nd order)","Discount Type (from 2nd order)"
"Discount Value","Discount Value"
"Discount Value (from 2nd order)","Discount Value (from 2nd order)"
"Discount on","Discount on"
"Discount policy","Discount policy"
"Edit","Edit"
"Edit Account ","Edit Account "
"Edit Banner ","Edit Banner "
"Edit Customer","Edit Customer"
"Edit Withdrawal for ","Edit Withdrawal for "
"Edit Withdrawals","Edit Withdrawals"
"Email","Email"
"Email Address","Email Address"
"Email Configuration","Email Configuration"
"Email template of Payment verification","Email template of Payment verification"
"Email template sent to admin when a new affiliate registers","Email template sent to admin when a new affiliate registers"
"Email template sent to admin when a transaction is created","Email template sent to admin when a transaction is created"
"Email template sent to admin when an affiliate requests withdrawal","Email template sent to admin when an affiliate requests withdrawal"
"Email template sent to affiliate account when a transaction is changed","Email template sent to affiliate account when a transaction is changed"
"Email template sent to affiliate account when a transaction is changed (canceled or completed)","Email template sent to affiliate account when a transaction is changed (canceled or completed)"
"Email template sent to affiliate account when commission of a transaction is reduced","Email template sent to affiliate account when commission of a transaction is reduced"
"Email template sent to affiliate when a transaction is created","Email template sent to affiliate when a transaction is created"
"Email template sent to affiliate when withdrawal is processed","Email template sent to affiliate when withdrawal is processed"
"Email template sent to new approved affiliate","Email template sent to new approved affiliate"
"Email template sent to new registered affiliate","Email template sent to new registered affiliate"
"Email: ","Email: "
"Enabled","Enabled"
"Enter your friends","Enter your friends"
"Estimated Fee","Estimated Fee"
"Excluding Fee","Excluding Fee"
"Expired time cookie have been saved in client browser","Expired time cookie have been saved in client browser"
"FORWARDED","FORWARDED"
"Facebook","Facebook"
"Fax","Fax"
"Fee","Fee"
"Fee: ","Fee: "
"Filter:","Filter:"
"First Name","First Name"
"Fixed","Fixed"
"Flash","Flash"
"From","From"
"From Date","From Date"
"General Configuration","General Configuration"
"General Information","General Information"
"Get Affiliate Link","Get Affiliate Link"
"Get Link","Get Link"
"Getting new captcha","Getting new captcha"
"Global","Global"
"Gmail","Gmail"
"Google+","Google+"
"Group","Group"
"History","History"
"History Withdrawal","History Withdrawal"
"History transaction","History transaction"
"Holding period","Holding period"
"ID","ID"
"IP Reset Time (days)","IP Reset Time (days)"
"If "No", system will be faster","If "No", system will be faster"
"Image","Image"
"Import Customer Info","Import Customer Info"
"Including %s tax","Including %s tax"
"Including Fee","Including Fee"
"Including fee","Including fee"
"Invalid current password","Invalid current password"
"Invalid email address","Invalid email address"
"Invalid email address.","Invalid email address."
"Item does not exist","Item does not exist"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Landing Page","Landing Page"
"Last Name","Last Name"
"Level %d","Level %d"
"Lifetime Sales Commission","Lifetime Sales Commission"
"Link","Link"
"Link: ","Link: "
"Loading...","Loading..."
"Login","Login"
"Login and password are required.","Login and password are required."
"Login or create an account","Login or create an account"
"Logout","Logout"
"Magestore Extension","Magestore Extension"
"Make your personal link","Make your personal link"
"Manage Accounts","Manage Accounts"
"Manage Banners","Manage Banners"
"Manage Payments","Manage Payments"
"Manage Transactions","Manage Transactions"
"Manage Withdrawals","Manage Withdrawals"
"Manual","Manual"
"Material page using CMS","Material page using CMS"
"Materials","Materials"
"Method: ","Method: "
"Minimum balance to request payment is %s","Minimum balance to request payment is %s"
"Monthly","Monthly"
"Monthly additional commission","Monthly additional commission"
"My Affiliate Account","My Affiliate Account"
"My Balance","My Balance"
"My Balance: ","My Balance: "
"N/A","N/A"
"Name","Name"
"Need admin's approval","Need admin's approval"
"New Account","New Account"
"New Address","New Address"
"New Banner","New Banner"
"New Password","New Password"
"New Withdrawal","New Withdrawal"
"New password field cannot be empty.","New password field cannot be empty."
"Next","Next"
"No","No"
"No.","No."
"Not Now","Not Now"
"Not including fee","Not including fee"
"Not verified","Not verified"
"Notification after signing up","Notification after signing up"
"OUR PROGRAM","OUR PROGRAM"
"OUR PROGRAMS","OUR PROGRAMS"
"On Cart","On Cart"
"On Hold","On Hold"
"On Product","On Product"
"Only Affiliate program Discount","Only Affiliate program Discount"
"Only Shopping cart Discount","Only Shopping cart Discount"
"Only available for customer do not exist on your system","Only available for customer do not exist on your system"
"Or retrieve contacts from","Or retrieve contacts from"
"Order","Order"
"Order Number","Order Number"
"Page:","Page:"
"Paid by Affiliate Credit","Paid by Affiliate Credit"
"Paid sucessful","Paid sucessful"
"Password","Password"
"Password will be updated for customer account","Password will be updated for customer account"
"Path","Path"
"Pay","Pay"
"Pay Now","Pay Now"
"Pay commission","Pay commission"
"Pay for Order","Pay for Order"
"Pay for Order: ","Pay for Order: "
"Pay per Profit","Pay per Profit"
"Pay per Sales","Pay per Sales"
"Pay per Sales/ Profit Commission","Pay per Sales/ Profit Commission"
"Pay-per-Profit","Pay-per-Profit"
"Pay-per-Sale","Pay-per-Sale"
"Payer","Payer"
"Payment","Payment"
"Payment Email","Payment Email"
"Payment Info","Payment Info"
"Payment Information","Payment Information"
"Payment Manager","Payment Manager"
"Payment Method","Payment Method"
"Payment Method Information","Payment Method Information"
"Payment News","Payment News"
"Payment by API Paypal","Payment by API Paypal"
"Payment model need is an abstract of class %s!","Payment model need is an abstract of class %s!"
"Payout","Payout"
"Payout Requirements","Payout Requirements"
"Payout for ","Payout for "
"Payout requirement","Payout requirement"
"Paypal","Paypal"
"Paypal Email","Paypal Email"
"Paypal Withdrawal method","Paypal Withdrawal method"
"Pending","Pending"
"Percentage","Percentage"
"Personal URL","Personal URL"
"Please chose an available payment method!","Please chose an available payment method!"
"Please click %s if you have not received your verification email.","Please click %s if you have not received your verification email."
"Please complete required fields in form below.","Please complete required fields in form below."
"Please enter a correct verification code!","Please enter a correct verification code!"
"Please fill one of the links from our store such as: product url, category url or another pages into the text box below:","Please fill one of the links from our store such as: product url, category url or another pages into the text box below:"
"Please select region, state or province","Please select region, state or province"
"Please specify payment method","Please specify payment method"
"Post on Facebook","Post on Facebook"
"Preview: ","Preview: "
"Previous","Previous"
"Process Commission","Process Commission"
"Process Transactions Email","Process Transactions Email"
"Processing","Processing"
"Product Name","Product Name"
"Products Name","Products Name"
"Receive Notification Email","Receive Notification Email"
"Receive email notification","Receive email notification"
"Receive your affiliate link","Receive your affiliate link"
"Recipient","Recipient"
"Refer Friends and Earn Money","Refer Friends and Earn Money"
"Refer friends email template","Refer friends email template"
"Referer","Referer"
"Referers","Referers"
"Refresh","Refresh"
"Refunded","Refunded"
"Refunded: ","Refunded: "
"Request Amount","Request Amount"
"Request Date","Request Date"
"Request Information","Request Information"
"Request Payment","Request Payment"
"Request Withdrawal","Request Withdrawal"
"Request withdrawal not allowed at this time.","Request withdrawal not allowed at this time."
"Requested Date","Requested Date"
"Requested time","Requested time"
"Require Paypal email when signing up","Require Paypal email when signing up"
"Require address when signing up","Require address when signing up"
"Required Fields","Required Fields"
"Reset Filter","Reset Filter"
"Review your payment and pay","Review your payment and pay"
"Review your request and send","Review your request and send"
"STORE VIEW","STORE VIEW"
"Sale","Sale"
"Sales","Sales"
"Sales Earnings","Sales Earnings"
"Sales Statistic","Sales Statistic"
"Sales Transactions","Sales Transactions"
"Save","Save"
"Save Account","Save Account"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner","Save Banner"
"Save Withdrawal","Save Withdrawal"
"Save and Pay Manual","Save and Pay Manual"
"Search","Search"
"Select "No" to apply above commission for all orders","Select "No" to apply above commission for all orders"
"Select "No" to apply above discount for all orders","Select "No" to apply above discount for all orders"
"Select Account to create Withdraw","Select Account to create Withdraw"
"Select Contacts","Select Contacts"
"Select Header Variables For Proxy Detection","Select Header Variables For Proxy Detection"
"Select an address from your address book or enter a new address.","Select an address from your address book or enter a new address."
"Select contacts to send email","Select contacts to send email"
"Send Email","Send Email"
"Send Request","Send Request"
"Send email to admin when a new affiliate registers","Send email to admin when a new affiliate registers"
"Send email to admin when a transaction is created","Send email to admin when a transaction is created"
"Send email to admin when an affiliate requests withdrawal","Send email to admin when an affiliate requests withdrawal"
"Send email to affiliate when a transaction is changed (canceled, completed or reduced commission)","Send email to affiliate when a transaction is changed (canceled, completed or reduced commission)"
"Send email to affiliate when a transaction is created","Send email to affiliate when a transaction is created"
"Send email to new affiliate","Send email to new affiliate"
"Settings","Settings"
"Share","Share"
"Show","Show"
"Show Material page","Show Material page"
"Show affiliate link on frontend","Show affiliate link on frontend"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign up Affiliate","Sign up Affiliate"
"Sign up Affiliate email","Sign up Affiliate email"
"Signup","Signup"
"Signup Affiliate Account","Signup Affiliate Account"
"Signup Affiliate System","Signup Affiliate System"
"Signup description","Signup description"
"Size: %sx%s","Size: %sx%s"
"Source File","Source File"
"State/Province","State/Province"
"Status","Status"
"Status History","Status History"
"Store","Store"
"Store Credit","Store Credit"
"Store Credits","Store Credits"
"Store Credits History","Store Credits History"
"Store View","Store View"
"Store view","Store view"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Subject","Subject"
"Subtract account balance immediately when a request withdrawal is created","Subtract account balance immediately when a request withdrawal is created"
"Subtract commission from account balance when creditmemo is created","Subtract commission from account balance when creditmemo is created"
"Subtract commission from account balance when order status is","Subtract commission from account balance when order status is"
"Tax","Tax"
"Tax Calculation","Tax Calculation"
"Tax Class for Withdrawal","Tax Class for Withdrawal"
"Telephone","Telephone"
"Text","Text"
"The account is disabled","The account is disabled"
"The amount of the payment request cannot exceed your balance: %s.","The amount of the payment request cannot exceed your balance: %s."
"The minimum balance to accept withdrawals is %s","The minimum balance to accept withdrawals is %s"
"The system will transfer money to your affiliate account immediately through the paygate.","The system will transfer money to your affiliate account immediately through the paygate."
"The withdrawal amount cannot exceed the account balance: %s.","The withdrawal amount cannot exceed the account balance: %s."
"There are no banners matching the selection.","There are no banners matching the selection."
"There are no items matching this selection.","There are no items matching this selection."
"There are no referer matching this selection.","There are no referer matching this selection."
"There is an error in paying out by paypal, please try again","There is an error in paying out by paypal, please try again"
"There is an error, please try again","There is an error, please try again"
"There is no payment method in the system. Please contact us to solve the problem.","There is no payment method in the system. Please contact us to solve the problem."
"This account Name is existed. Please enter other account Name.","This account Name is existed. Please enter other account Name."
"This account has already had a pending payment!","This account has already had a pending payment!"
"This account has one payment waiting need to be processed.","This account has one payment waiting need to be processed."
"This action cannot be restored. Are you sure?","This action cannot be restored. Are you sure?"
"This field will be updated to your profile!","This field will be updated to your profile!"
"This message has been posted successfully!","This message has been posted successfully!"
"This month","This month"
"This payment is completed","This payment is completed"
"This payment is processing","This payment is processing"
"This payment method not available, please chose an available payment method!","This payment method not available, please chose an available payment method!"
"This payout has been transfered successfully!","This payout has been transfered successfully!"
"This payout has not been transfered!","This payout has not been transfered!"
"This week","This week"
"This year","This year"
"Tier Commission","Tier Commission"
"Time","Time"
"Title","Title"
"Title: %s","Title: %s"
"To","To"
"To Account","To Account"
"To Date","To Date"
"Today","Today"
"Total","Total"
"Total %s of %s transactions were canceled successfully","Total %s of %s transactions were canceled successfully"
"Total Amount","Total Amount"
"Total Clicks","Total Clicks"
"Total Commissions Received","Total Commissions Received"
"Total Earnings: ","Total Earnings: "
"Total Orders","Total Orders"
"Total Paid","Total Paid"
"Total Received","Total Received"
"Total Sales","Total Sales"
"Total Transactions: ","Total Transactions: "
"Traffic Source","Traffic Source"
"Traffic Summary","Traffic Summary"
"Traffic sources","Traffic sources"
"Traffic statistic","Traffic statistic"
"Traffics","Traffics"
"Transaction Detail","Transaction Detail"
"Transaction Detail:","Transaction Detail:"
"Transaction ID","Transaction ID"
"Transaction Id: ","Transaction Id: "
"Transaction Information","Transaction Information"
"Transaction Manager","Transaction Manager"
"Transaction News","Transaction News"
"Transaction detail","Transaction detail"
"Transaction does not exist","Transaction does not exist"
"Transaction was canceled successfully","Transaction was canceled successfully"
"Transactions","Transactions"
"Transactions Manager","Transactions Manager"
"Tweet","Tweet"
"Twitter","Twitter"
"Type","Type"
"Type: Flash","Type: Flash"
"Type: Image","Type: Image"
"Type: Text","Type: Text"
"Unable to find account to save","Unable to find account to save"
"Unable to find banner to save","Unable to find banner to save"
"Unable to find payment to review","Unable to find payment to review"
"Unable to find payment to save","Unable to find payment to save"
"Unique Click","Unique Click"
"Unique Clicks","Unique Clicks"
"Use Default","Use Default"
"Use commission as store credit","Use commission as store credit"
"Use different commission from 2nd order of a Customer","Use different commission from 2nd order of a Customer"
"Use different discount from 2nd order of a Customer","Use different discount from 2nd order of a Customer"
"Use money on your affiliate balance","Use money on your affiliate balance"
"Use standard magento image link to track banner","Use standard magento image link to track banner"
"Using API","Using API"
"VIA","VIA"
"Verification","Verification"
"Verification Form","Verification Form"
"Verified","Verified"
"Verify","Verify"
"Verify Domain","Verify Domain"
"View","View"
"View Affiliate Account Detail","View Affiliate Account Detail"
"View Customer Detail","View Customer Detail"
"View History","View History"
"View Invoice","View Invoice"
"View Order","View Order"
"View Order Detail","View Order Detail"
"View Product Detail","View Product Detail"
"View Transaction","View Transaction"
"View Transaction of ","View Transaction of "
"View Withdrawal for ","View Withdrawal for "
"Waiting","Waiting"
"We are checking your personal information before approving and will inform you later.","We are checking your personal information before approving and will inform you later."
"Website","Website"
"Weekly","Weekly"
"Welcome To Our Affiliate Program!","Welcome To Our Affiliate Program!"
"Welcome page using CMS","Welcome page using CMS"
"When there's Shopping cart Discount, apply","When there's Shopping cart Discount, apply"
"Who pays transaction fee","Who pays transaction fee"
"Withdrawal Description","Withdrawal Description"
"Withdrawal Email","Withdrawal Email"
"Withdrawal Information","Withdrawal Information"
"Withdrawal Method","Withdrawal Method"
"Withdrawal News","Withdrawal News"
"Withdrawal detail","Withdrawal detail"
"Withdrawal history","Withdrawal history"
"Withdrawal information","Withdrawal information"
"Withdrawal not found!","Withdrawal not found!"
"Withdrawal was successfully canceled!","Withdrawal was successfully canceled!"
"Withdrawal was successfully deleted","Withdrawal was successfully deleted"
"Withdrawal was successfully saved","Withdrawal was successfully saved"
"Withdrawals","Withdrawals"
"Withdrawals Configuration","Withdrawals Configuration"
"Withdrawals History","Withdrawals History"
"Withdrawals Manager","Withdrawals Manager"
"XML","XML"
"Yahoo","Yahoo"
"Yearly","Yearly"
"Yearly additional commission","Yearly additional commission"
"Yes","Yes"
"You are having a pending request!","You are having a pending request!"
"You are logged in!","You are logged in!"
"You are spending","You are spending"
"You are using a trial version of %s extension. It will be expired on %s.","You are using a trial version of %s extension. It will be expired on %s."
"You can change this email on the acount edit page","You can change this email on the acount edit page"
"You can use this email address.","You can use this email address."
"You had an affiliate account. Please login to system!","You had an affiliate account. Please login to system!"
"Your account information has been saved!","Your account information has been saved!"
"Your affiliate account has not been approved. Please wait for our approval.","Your affiliate account has not been approved. Please wait for our approval."
"Your affiliate account is blocked. Please contact us to get our help.","Your affiliate account is blocked. Please contact us to get our help."
"Your affiliate store credit has been applied successfully","Your affiliate store credit has been applied successfully"
"Your payout was not transfered and saved!","Your payout was not transfered and saved!"
"Your personal affiliate url","Your personal affiliate url"
"Your request has been cancelled successfully!","Your request has been cancelled successfully!"
"Your request has been sent successfully!","Your request has been sent successfully!"
"Zip/Postal Code","Zip/Postal Code"
"dateinput","dateinput"
"days. 0 or empty is not hold commission.","days. 0 or empty is not hold commission."
"days. 0 or empty is unlimited.","days. 0 or empty is unlimited."
"discount","discount"
"discount on each order","discount on each order"
"discount on each purchased item","discount on each purchased item"
"for next orders","for next orders"
"for the first order of a customer","for the first order of a customer"
"get contacts from gmail","get contacts from gmail"
"get contacts from yahoo","get contacts from yahoo"
"on each purchased item","on each purchased item"
"per page","per page"
